Data_key,Game_number,Engine_Depth,Game_date,Game_type,White_player,Black_player,White_rating,Black_rating,My_colour,My_rating,Winner,User_winner,number_of_moves,White_accuracy,White_opening_accuracy,White_middle_accuracy,White_end_accuracy,No_best_white,No_great_white,No_good_white,No_ok_white,No_inaccuracy_white,No_mistake_white,No_blunder_white,Improvement_white,Black_accuracy,Black_opening_accuracy,Black_middle_accuracy,Black_end_accuracy,No_best_black,No_great_black,No_good_black,No_ok_black,No_inaccuracy_black,No_mistake_black,No_blunder_black,Improvement_black,User_accuracy,User_opening_accuracy,User_middle_accuracy,User_end_accuracy,No_best_user,No_great_user,No_good_user,No_ok_user,No_inaccuracy_user,No_mistake_user,No_blunder_user,Improvement_user
"1, 2020.11.08, 10",1,10,2020.11.08,600,Ainceer,Eulleer,1371,1162,White,1371,White,1,23.5,93.85,91.69,93.84,96.02,9,9,4,2,0,0,0,0,67.13,78.5,70.5,50.29,6,7,0,2,2,0,6,2,93.85,91.69,93.84,96.02,9,9,4,2,0,0,0,0
"2, 2020.11.08, 10",2,10,2020.11.08,600,ibrahim783,Ainceer,1261,1466,Black,1466,Black,1,33,52.5,52.97,29,75.53,8,7,1,1,1,0,15,1,61.8,79.86,48.18,57.36,12,5,2,1,0,2,11,1,61.8,79.86,48.18,57.36,12,5,2,1,0,2,15,1
"3, 2020.11.08, 10",3,10,2020.11.08,600,Ainceer,adnankrasniqi,1362,1441,White,1362,Black,0,33,65.93,61.99,66.53,69.27,8,10,1,1,4,1,8,0,56.33,67.7,47.16,54.12,7,8,1,2,1,1,13,1,65.93,61.99,66.53,69.27,8,10,1,1,4,1,8,0
"4, 2020.11.08, 10",4,10,2020.11.08,600,Tdbaldwin9,Ainceer,1293,1270,Black,1270,White,0,23.5,78.78,96.29,52.91,87.15,10,6,1,2,1,0,4,1,65.72,92.83,51.84,50.59,7,5,1,2,1,1,6,2,65.72,92.83,51.84,50.59,7,5,1,2,1,1,4,2
"5, 2020.11.09, 10",5,10,2020.11.09,600,Ainceer,AlmightyPush420,1204,1266,White,1204,Black,0,23,52.46,97.01,23.76,34.34,5,6,0,1,1,0,10,1,61.05,90.63,40.89,50.29,6,3,1,4,2,0,7,1,52.46,97.01,23.76,34.34,5,6,0,1,1,0,10,1
"6, 2020.11.09, 10",6,10,2020.11.09,600,Waseem96050,Ainceer,1166,1255,Black,1255,Black,1,52,56.59,39.95,59.64,71.16,20,8,0,0,1,1,22,0,57.84,54.78,61.11,57.81,17,5,3,5,3,0,19,0,57.84,54.78,61.11,57.81,17,5,3,5,3,0,22,0
"7, 2020.11.09, 10",7,10,2020.11.09,600,salvationO4,Ainceer,1179,1196,Black,1196,White,0,24.5,66.07,82.33,45.06,68.78,9,4,0,3,2,1,6,1,71.73,90.3,84.49,40.39,9,6,2,0,1,0,6,2,71.73,90.3,84.49,40.39,9,6,2,0,1,0,6,2
"8, 2020.11.09, 10",8,10,2020.11.09,600,kamburov7810,Ainceer,1024,1227,Black,1227,Black,1,37,56.13,53.59,74.44,40.57,9,7,0,3,3,3,12,2,65.69,65.29,70.16,61.67,15,5,3,0,1,3,10,2,65.69,65.29,70.16,61.67,15,5,3,0,1,3,12,2
"9, 2020.11.09, 10",9,10,2020.11.09,600,Ainceer,nickdovgi,1192,1275,White,1192,Black,0,23,73.41,75.19,84.86,58.3,10,5,1,1,0,1,5,2,65.89,85.83,59.88,49.97,5,5,2,4,1,1,5,2,73.41,75.19,84.86,58.3,10,5,1,1,0,1,5,2
"10, 2020.11.09, 10",10,10,2020.11.09,600,Thatguypete,Ainceer,1177,1153,Black,1153,White,0,39.5,67.96,86.17,60.94,55.38,13,6,5,4,1,1,10,2,63.88,85.8,53.84,51.99,13,5,5,2,1,2,11,2,63.88,85.8,53.84,51.99,13,5,5,2,1,2,10,2
"11, 2020.11.10, 10",11,10,2020.11.10,600,Ainceer,zirconita,1186,1147,White,1186,White,1,20.5,71.18,75.29,65.65,72.61,8,4,1,0,2,2,4,1,60,68.63,46.58,65.59,5,4,0,3,1,2,5,1,71.18,75.29,65.65,72.61,8,4,1,0,2,2,4,1
