Game number,Game type,White player,Black player,White rating,Black rating,My colour,My rating,Winner,Did i win?,number of moves,White accuracy,White opening accuracy,White middle accuracy,White end accuracy,No. best white,No. great white,No. good white,No. ok white,No. inaccuracy white,No. mistake white,No. blunder white,Improvement white,Black accuracy,Black opening accuracy,Black middle accuracy,Black end accuracy,No. best black,No. great black,No. good black,No. ok black,No. inaccuracy black,No. mistake black,No. blunder black,Improvement black,User accuracy,User opening accuracy,User middle accuracy,User end accuracy,No. best user,No. great user,No. good user,No. ok user,No. inaccuracy user,No. mistake user,No. blunder user,Improvement user
1,600,Ainceer,Eulleer,1371,1162,White,1371,White,True,23.5,84.23,87.6,98.37,66.73,7,10,2,0,2,1,2,2,68.97,80.45,75.57,48.33,3,8,1,2,3,1,5,2,84.23,87.6,98.37,66.73,7,10,2,0,2,1,2,2
2,600,ibrahim783,Ainceer,1261,1466,Black,1466,Black,True,33.0,54.34,42.79,40.45,79.79,9,7,1,0,0,2,14,1,69.49,76.47,59.04,72.97,13,3,3,4,2,0,8,1,69.49,76.47,59.04,72.97,13,3,3,4,2,0,14,1
3,600,Ainceer,adnankrasniqi,1362,1441,White,1362,Black,False,33.0,42.48,54.32,34.16,38.96,3,5,2,2,1,4,16,1,51.45,49.36,49.06,55.92,5,5,3,0,4,3,13,1,42.48,54.32,34.16,38.96,3,5,2,2,1,4,16,1
4,600,Tdbaldwin9,Ainceer,1293,1270,Black,1270,White,False,23.5,70.21,90.94,52.32,67.37,6,7,2,0,2,1,6,1,68.3,94.94,55.69,52.27,7,6,0,2,1,1,6,2,68.3,94.94,55.69,52.27,7,6,0,2,1,1,6,2
5,600,Ainceer,AlmightyPush420,1204,1266,White,1204,Black,False,23.0,55.7,94.82,40.04,28.9,5,6,0,2,0,1,9,2,60.68,60.8,56.91,64.86,6,4,1,2,1,1,8,1,55.7,94.82,40.04,28.9,5,6,0,2,0,1,9,2
6,600,Waseem96050,Ainceer,1166,1255,Black,1255,Black,True,52.0,54.03,38.59,65.44,58.95,15,7,1,1,5,2,21,0,54.72,47.2,55.61,61.81,17,7,1,2,2,2,21,0,54.72,47.2,55.61,61.81,17,7,1,2,2,2,21,0
7,600,salvationO4,Ainceer,1179,1196,Black,1196,White,False,24.5,68.57,85.2,67.9,50.53,6,8,1,2,1,0,7,2,75.24,98.76,79.7,47.28,7,10,0,0,1,1,5,2,75.24,98.76,79.7,47.28,7,10,0,0,1,1,7,2
8,600,kamburov7810,Ainceer,1024,1227,Black,1227,Black,True,37.0,57.45,58.0,70.65,43.64,12,3,3,1,4,1,13,2,77.09,76.82,85.92,68.55,16,8,2,1,2,2,6,2,77.09,76.82,85.92,68.55,16,8,2,1,2,2,13,2
9,600,Ainceer,nickdovgi,1192,1275,White,1192,Black,False,23.0,74.82,82.29,80.48,59.81,9,5,1,2,1,0,5,2,74.63,94.95,60.39,67.69,6,8,2,1,0,2,4,1,74.82,82.29,80.48,59.81,9,5,1,2,1,0,5,2
10,600,Thatguypete,Ainceer,1177,1153,Black,1153,White,False,39.5,69.21,81.14,75.87,49.69,13,10,0,2,4,2,9,2,57.15,72.79,52.61,46.04,9,9,2,2,1,1,15,2,57.15,72.79,52.61,46.04,9,9,2,2,1,1,9,2
